analysis,recovery_fraction,clean_tolerance,atr_quantile,smpr_margin,proxy_variant,task,fragile_median_atr,recovered_median_atr,fragile_median_smpr,recovered_median_smpr,atr_direction_pass,smpr_direction_pass,num_fragile,num_recovered,status,notes
recovery_threshold_clean_tolerance,0.7,10.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,1.0,0.03749845365687284,0.8799999952316284,0.9949999749660492,true,true,7,20,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.7,10.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.8343447825120545,0.06619946591870848,0.8199999928474426,1.0,true,true,9,18,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,3.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,1.0,0.122691025972097,0.3606557250022888,0.9836065173149109,true,true,4,23,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,3.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.7230941693180636,0.10453930446644813,0.8469387292861938,1.0,true,true,9,18,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,3.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,0.9663767205188786,0.03749845365687284,0.8999999761581421,0.9949999749660492,true,true,9,18,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,3.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.706414932552194,0.07260029289129998,0.929999977350235,1.0,true,true,12,15,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,5.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,1.0,0.122691025972097,0.3606557250022888,0.9836065173149109,true,true,4,23,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,5.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.7230941693180636,0.10453930446644813,0.8469387292861938,1.0,true,true,9,18,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,5.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,0.9663767205188786,0.03749845365687284,0.8999999761581421,0.9949999749660492,true,true,9,18,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,5.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.706414932552194,0.07260029289129998,0.929999977350235,1.0,true,true,12,15,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,10.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,1.0,0.122691025972097,0.3606557250022888,0.9836065173149109,true,true,4,23,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,10.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.7838013516222393,0.10738659020934516,0.7806122004985809,1.0,true,true,8,19,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,10.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,0.9663767205188786,0.03749845365687284,0.8999999761581421,0.9949999749660492,true,true,9,18,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.8,10.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.7712415441221675,0.06619946591870848,0.9099999666213989,1.0,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,3.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,0.34655926673681164,0.09667818564199082,0.9180327653884888,0.9836065173149109,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,3.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.6396701112043168,0.09991619608012545,0.9081632494926453,1.0,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,3.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,0.9477024968586266,0.035730966628541486,0.9099999666213989,0.9899999499320984,true,true,10,17,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,3.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.45838006688060484,0.06619946591870848,0.9799999594688416,1.0,true,true,15,12,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,5.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,0.34655926673681164,0.09667818564199082,0.9180327653884888,0.9836065173149109,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,5.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.6396701112043168,0.09991619608012545,0.9081632494926453,1.0,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,5.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,0.9477024968586266,0.035730966628541486,0.9099999666213989,0.9899999499320984,true,true,10,17,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,5.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.45838006688060484,0.06619946591870848,0.9799999594688416,1.0,true,true,15,12,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,10.0,q90,delta0,q50_margin_minus_2q90_drift,TwoRoom,0.34655926673681164,0.09667818564199082,0.9180327653884888,0.9836065173149109,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,10.0,q90,delta0,q50_margin_minus_2q90_drift,PushT,0.6396701112043168,0.09991619608012545,0.9081632494926453,1.0,true,true,11,16,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,10.0,q90,delta0,q50_margin_minus_2q90_drift,Reacher,0.9477024968586266,0.035730966628541486,0.9099999666213989,0.9899999499320984,true,true,10,17,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
recovery_threshold_clean_tolerance,0.9,10.0,q90,delta0,q50_margin_minus_2q90_drift,Cube,0.45838006688060484,0.06619946591870848,0.9799999594688416,1.0,true,true,15,12,ok,Labels recomputed from closed-loop recovery fraction and clean-score tolerance; diagnostics are not used to set labels.
atr_quantile,,,q80,delta0,,ALL,,,,,,,,,unavailable_raw_tail,Retained full-sweep diagnostics store ATR q90 only; q80/q95 require sample-level same-state radii.
atr_quantile,,,q95,delta0,,ALL,,,,,,,,,unavailable_raw_tail,Retained full-sweep diagnostics store ATR q90 only; q80/q95 require sample-level same-state radii.
smpr_margin,,,q90,delta005,,ALL,,,,,,,,,unavailable_margin_sweep,Retained SMPR full-sweep artifact stores margin-zero pass rate only.
smpr_margin,,,q90,delta010,,ALL,,,,,,,,,unavailable_margin_sweep,Retained SMPR full-sweep artifact stores margin-zero pass rate only.
proxy_quantile,,,q90,delta0,q25_margin_minus_2q90_drift,ALL,,,,,,,,,unavailable_raw_tail,Requires lower-tail clean margins and upper-tail paired drift not retained in current summaries.
proxy_quantile,,,q90,delta0,q50_margin_minus_2q95_drift,ALL,,,,,,,,,unavailable_raw_tail,Requires lower-tail clean margins and upper-tail paired drift not retained in current summaries.
proxy_quantile,,,q90,delta0,q10_margin_minus_2q95_drift,ALL,,,,,,,,,unavailable_raw_tail,Requires lower-tail clean margins and upper-tail paired drift not retained in current summaries.
